row_type,seed,random_repeats,full_retained_repeats,pairs,gate_enabled,score_wins,score_losses,score_ties,learned_score_wins,learned_score_losses,learned_score_ties,retained_learned_win_fraction,retained_learned_wins,mean_score_relative,mean_always_learned_score_relative,mean_time_relative,mean_always_learned_time_relative,learned_overhead_reduction,gate_intervals
learned_cv_gate,learned,1,1,1593,1269,328,0,1265,328,0,1265,1.0,True,-0.010652914059532335,-0.010652914059532335,0.314044859379522,0.34489318027871524,0.08944311648686153,f0:4--25; f1:4--25; f2:4--25; f3:4--23; f4:4--25
random_mean,mean,200,0,1593,917.73,220.695,0,1372.305,328,0,1265,0.6728506097560976,False,-0.0074577857505495355,-0.010652914059532335,0.20879877953179402,0.34489318027871524,0.3945987004931224,"same fold widths, random positions"
random_p95_retention,p95,200,0,1593,1116.0,304.0,0.0,1450.0,328,0,1265,0.926829268292683,False,-0.010535628995621268,-0.010652914059532335,0.2746980911054812,0.34489318027871524,0.5807496138639702,95th percentile over random positions
random_best_retention,89,200,0,1593,1071,319,0,1274,328,0,1265,0.9725609756097561,False,-0.010638775627314807,-0.010652914059532335,0.26192394259480817,0.34489318027871524,0.2405650283280694,f0:4--25; f1:10--31; f2:6--27; f3:13--32; f4:4--25
