n,method,functions,mean_terms,mean_T,mean_CNOT,mean_depth,mean_peak_ancilla,mean_schedule_logical_depth,mean_schedule_cnot_depth_proxy,mean_schedule_t_depth_proxy,mean_explicit_ancilla_live_peak,mean_explicit_ancilla_lifetime_area,mean_score,mean_time_s,verified_rows,mean_plan_nodes,circuit_verified_rows,mean_circuit_gates,mean_circuit_max_wire_terms
24,adaptive_all_depth,24,114.58333333333333,974.8333333333334,1574.25,1574.3333333333333,5.25,110.5,1098.75,468.3333333333333,0.9166666666666666,32.166666666666664,1077.9133333333334,6.976423984376197,24,8.416666666666666,24,112.08333333333333,114.58333333333333
24,depth2_guard_direct,24,114.58333333333333,1015.6666666666666,1634.9583333333333,1635.0416666666667,5.208333333333333,109.83333333333333,1138.7083333333333,487.1666666666667,0.9583333333333334,23,1122.2010416666667,0.4260815381667271,24,6,24,111.54166666666667,114.58333333333333
24,depth_frontier_policy,24,114.58333333333333,974.8333333333334,1574.25,1574.3333333333333,5.25,110.5,1098.75,468.3333333333333,0.9166666666666666,32.166666666666664,1077.9133333333334,4.708389730876054,24,8.416666666666666,24,112.08333333333333,114.58333333333333
24,depth_policy,24,114.58333333333333,1016.1666666666666,1635.625,1635.7083333333333,5.208333333333333,109.75,1139.375,487.375,0.9583333333333334,22.75,1122.739375,0.41978668224965077,24,5.916666666666667,24,111.45833333333333,114.58333333333333
24,direct_logical_and,24,114.58333333333333,1165.3333333333333,1862.5,1862.5833333333333,4.833333333333333,114.58333333333333,1284.6666666666667,559.25,0,0,1284.41125,9.843755227241975e-07,24,1,24,114.58333333333333,114.58333333333333
24,screen_depth1,24,114.58333333333333,1048.3333333333333,1683.9583333333333,1684.0416666666667,5.208333333333333,109.70833333333333,1169.75,503,0.9583333333333334,17.333333333333332,1157.7260416666666,0.09199675862570682,24,4.583333333333333,24,111.54166666666667,114.58333333333333
24,screen_depth2,24,114.58333333333333,1015.6666666666666,1634.9583333333333,1635.0416666666667,5.208333333333333,109.83333333333333,1138.7083333333333,487.1666666666667,0.9583333333333334,23,1122.2010416666667,0.426087244750003,24,6,24,111.54166666666667,114.58333333333333
24,screen_depth3,24,114.58333333333333,991.3333333333334,1598.7916666666667,1598.875,5.25,110.375,1117.25,475.5416666666667,0.9166666666666666,27.708333333333332,1095.8435416666666,1.610749567750948,24,7.25,24,111.875,114.58333333333333
24,screen_depth4,24,114.58333333333333,974.8333333333334,1574.25,1574.3333333333333,5.25,110.5,1098.75,468.3333333333333,0.9166666666666666,32.166666666666664,1077.9133333333334,4.832124579833969,24,8.416666666666666,24,112.08333333333333,114.58333333333333
24,screen_single,24,114.58333333333333,1094.3333333333333,1753.6666666666667,1753.75,5.166666666666667,110.58333333333333,1214.5,524.9583333333334,0.9166666666666666,9.666666666666666,1207.7137500000001,0.015465833415570765,24,2.8333333333333335,24,112.25,114.58333333333333
28,adaptive_all_depth,24,123.79166666666667,1034.6666666666667,1672.875,1672.9166666666667,5.416666666666667,119.16666666666667,1217.5416666666667,494.8333333333333,0.9166666666666666,32.541666666666664,1143.8912500000001,10.694618651248675,24,8.416666666666666,24,120.91666666666667,123.79166666666667
