n,method,functions,mean_terms,mean_T,mean_CNOT,mean_depth,mean_peak_ancilla,mean_schedule_logical_depth,mean_schedule_cnot_depth_proxy,mean_schedule_t_depth_proxy,mean_explicit_ancilla_live_peak,mean_explicit_ancilla_lifetime_area,mean_score,mean_plan_time_s,mean_truth_build_time_s,mean_truth_verify_time_s,truth_verified_rows,anf_verified_rows,circuit_verified_rows,mean_circuit_max_wire_terms
29,adaptive_all_depth,6,118.33333333333333,992,1603.5,1603.5,5.5,113.83333333333333,1103.6666666666667,474.6666666666667,1,34.833333333333336,1097.3075,8.534961028174925,6.398808250000002,4.893275687665057,6,6,6,118.33333333333333
29,depth2_guard_direct,6,118.33333333333333,1018.6666666666666,1640.8333333333333,1640.8333333333333,5.333333333333333,110.83333333333333,1126.6666666666667,486.8333333333333,1,26.833333333333332,1125.8008333333335,0.5735109583329177,6.398808250000002,4.960349791673555,6,6,6,118.33333333333333
29,depth_frontier_policy,6,118.33333333333333,994,1605.3333333333333,1605.3333333333333,5.5,112.66666666666667,1104,475.6666666666667,1,33.333333333333336,1099.4066666666668,5.685234868001619,6.398808250000002,4.911452701674231,6,6,6,118.33333333333333
29,depth_policy,6,118.33333333333333,1020,1642.3333333333333,1642.3333333333333,5.333333333333333,110.33333333333333,1128.3333333333333,487.5,1,26,1127.2183333333335,0.564533867999368,6.398808250000002,4.968372069507798,6,6,6,118.33333333333333
29,direct_logical_and,6,118.33333333333333,1197.3333333333333,1914.3333333333333,1914.3333333333333,4.666666666666667,118.33333333333333,1299.6666666666667,571.6666666666666,0,0,1319.125,7.008333826282372e-05,6.398808250000002,6.256950625009874,6,6,6,118.33333333333333
29,screen_depth1,6,118.33333333333333,1052.6666666666667,1692.8333333333333,1692.8333333333333,5.333333333333333,111.83333333333333,1162,502.6666666666667,1,20.5,1162.8408333333334,0.122336527997201,6.398808250000002,4.974893277821441,6,6,6,118.33333333333333
29,screen_depth2,6,118.33333333333333,1018.6666666666666,1640.8333333333333,1640.8333333333333,5.333333333333333,110.83333333333333,1126.6666666666667,486.8333333333333,1,26.833333333333332,1125.8008333333335,0.5735109583329177,6.398808250000002,4.960349791673555,6,6,6,118.33333333333333
29,screen_depth3,6,118.33333333333333,1002,1617.5,1617.5,5.5,112.5,1113.3333333333333,479.3333333333333,1,31.833333333333332,1108.1175,2.031223923836175,6.398808250000002,4.808987472337321,6,6,6,118.33333333333333
29,screen_depth4,6,118.33333333333333,992,1603.5,1603.5,5.5,113.83333333333333,1103.6666666666667,474.6666666666667,1,34.833333333333336,1097.3075,5.787920694342271,6.398808250000002,4.888029215338368,6,6,6,118.33333333333333
29,screen_single,6,118.33333333333333,1103.3333333333333,1769.8333333333333,1769.8333333333333,5.333333333333333,112.83333333333333,1210,525.8333333333334,1,11.5,1218.0058333333332,0.019968923666359235,6.398808250000002,5.193296951169032,6,6,6,118.33333333333333
