name,n,profile,term_count,truth_build_time_s,method,score,T,CNOT,depth,gates,peak_ancilla,plan_time_s,truth_verify_time_s,truth_verified,anf_verified,plan_nodes,plan_mismatches,circuit_anf_verified,circuit_gates,circuit_max_wire_terms,circuit_mismatches
truth_bridge_n23_002_mixed,23,mixed,136,204.33088383300492,screen_single,1269.3149999999998,1152,1859,1859,707,4,0.015184750001935754,0.04575554100301815,True,True,3,0,True,131,136,0
truth_bridge_n23_003_deep,23,deep,217,204.11602695799957,adaptive_all_depth,2220.1150000000002,2016,3235,3235,1219,7,14.952897501010739,0.07471204100147588,True,True,11,0,True,211,217,0
truth_bridge_n23_003_deep,23,deep,217,204.11602695799957,depth2_guard_direct,2274.535,2068,3311,3311,1243,6,0.8463929170029587,0.07600033300695941,True,True,7,0,True,209,217,0
truth_bridge_n23_003_deep,23,deep,217,204.11602695799957,depth_frontier_policy,2220.1150000000002,2016,3235,3235,1219,7,10.52078866699594,0.07471204100147588,True,True,11,0,True,211,217,0
truth_bridge_n23_003_deep,23,deep,217,204.11602695799957,depth_policy,2274.535,2068,3311,3311,1243,6,0.8463929170029587,0.07600033300695941,True,True,7,0,True,209,217,0
truth_bridge_n23_003_deep,23,deep,217,204.11602695799957,direct_logical_and,2466.455,2244,3583,3583,1339,6,5.290996341500431e-06,0.08230104199901689,True,True,1,0,True,217,217,0
truth_bridge_n23_003_deep,23,deep,217,204.11602695799957,screen_depth1,2318.0350000000003,2108,3371,3371,1263,6,0.19332912500249222,0.07669329199416097,True,True,5,0,True,209,217,0
truth_bridge_n23_003_deep,23,deep,217,204.11602695799957,screen_depth2,2274.535,2068,3311,3311,1243,6,0.8463929170029587,0.07600033300695941,True,True,7,0,True,209,217,0
truth_bridge_n23_003_deep,23,deep,217,204.11602695799957,screen_depth3,2237.4500000000003,2032,3258,3258,1226,7,3.3668507090042112,0.0742609159933636,True,True,9,0,True,210,217,0
truth_bridge_n23_003_deep,23,deep,217,204.11602695799957,screen_depth4,2220.1150000000002,2016,3235,3235,1219,7,10.52078866699594,0.07471204100147588,True,True,11,0,True,211,217,0
truth_bridge_n23_003_deep,23,deep,217,204.11602695799957,screen_single,2387.765,2172,3469,3469,1297,6,0.02553608300513588,0.07930562500405358,True,True,3,0,True,211,217,0
