name,n,portfolio,selected_method,selected_score,selected_T,selected_CNOT,revkit_lower_score,revkit_non_clifford_rz,model,epsilon,t_per_rz,extra_T,revkit_synth_T,revkit_synth_depth,revkit_synth_gates,revkit_synth_score,relative,win
majority_n3,3,resource_nmcts_family,and_pareto_resource_nmcts,4.74,4.0,12.0,8.835,0.0,ross_selinger_z,1e-06,60,0.0,8.0,15.0,21.0,8.835,-0.46349745331069614,1
majority_n3,3,resource_nmcts_family,and_pareto_resource_nmcts,4.74,4.0,12.0,8.835,0.0,ross_selinger_z,1e-10,100,0.0,8.0,15.0,21.0,8.835,-0.46349745331069614,1
majority_n3,3,resource_nmcts_family,and_pareto_resource_nmcts,4.74,4.0,12.0,8.835,0.0,selinger_su2,0.001,50,0.0,8.0,15.0,21.0,8.835,-0.46349745331069614,1
majority_n3,3,resource_nmcts_family,and_pareto_resource_nmcts,4.74,4.0,12.0,8.835,0.0,selinger_su2,1e-06,90,0.0,8.0,15.0,21.0,8.835,-0.46349745331069614,1
majority_n3,3,resource_nmcts_family,and_pareto_resource_nmcts,4.74,4.0,12.0,8.835,0.0,selinger_su2,1e-10,143,0.0,8.0,15.0,21.0,8.835,-0.46349745331069614,1
majority_n3,3,traditional_baseline_family,sshr_h,4.665,4.0,11.0,8.835,0.0,ross_selinger_z,0.001,30,0.0,8.0,15.0,21.0,8.835,-0.4719864176570459,1
majority_n3,3,traditional_baseline_family,sshr_h,4.665,4.0,11.0,8.835,0.0,ross_selinger_z,1e-06,60,0.0,8.0,15.0,21.0,8.835,-0.4719864176570459,1
majority_n3,3,traditional_baseline_family,sshr_h,4.665,4.0,11.0,8.835,0.0,ross_selinger_z,1e-10,100,0.0,8.0,15.0,21.0,8.835,-0.4719864176570459,1
majority_n3,3,traditional_baseline_family,sshr_h,4.665,4.0,11.0,8.835,0.0,selinger_su2,0.001,50,0.0,8.0,15.0,21.0,8.835,-0.4719864176570459,1
majority_n3,3,traditional_baseline_family,sshr_h,4.665,4.0,11.0,8.835,0.0,selinger_su2,1e-06,90,0.0,8.0,15.0,21.0,8.835,-0.4719864176570459,1
majority_n3,3,traditional_baseline_family,sshr_h,4.665,4.0,11.0,8.835,0.0,selinger_su2,1e-10,143,0.0,8.0,15.0,21.0,8.835,-0.4719864176570459,1
