n,name,method,correct,score,T,CNOT,depth,gates,peak_ancilla,time_s,truth_table_hex
7,truth_n7_19,and_resource_nmcts,True,345.62,296,534,536,71,5,2.6166300773620605,0x3139d32c93cd59bf5c941cf0dc98d2c1
7,truth_n7_20,and_direct_anf,True,801.2400000000001,708,1129,1129,67,5,0.00015211105346679688,0xa9488d990bbb259911ce5dd2b45ed1f0
7,truth_n7_20,and_resource_nmcts,True,353.85,304,559,574,86,4,2.7778429985046387,0xa9488d990bbb259911ce5dd2b45ed1f0
7,truth_n7_21,and_direct_anf,True,661.28,584,939,939,63,4,0.0001659393310546875,0xfc377a4c4a15544dc5e7ce8a3a578a8e
7,truth_n7_21,and_resource_nmcts,True,345.04,296,553,555,79,4,3.1529970169067383,0xfc377a4c4a15544dc5e7ce8a3a578a8e
7,truth_n7_22,and_direct_anf,True,788.03,696,1112,1113,69,5,0.00015687942504882812,0xddd1dfb23b982ef8daf61a26146d3f31
7,truth_n7_22,and_resource_nmcts,True,350.25000000000006,300,566,577,85,4,4.345018148422241,0xddd1dfb23b982ef8daf61a26146d3f31
7,truth_n7_23,and_direct_anf,True,747.7200000000001,660,1054,1054,64,5,0.00015497207641601562,0x7412b29347294739614ff3d719db3ad0
7,truth_n7_23,and_resource_nmcts,True,335.72999999999996,288,534,541,70,4,2.5031659603118896,0x7412b29347294739614ff3d719db3ad0
7,truth_n7_24,and_direct_anf,True,832.67,736,1175,1176,72,5,0.00017309188842773438,0x29a3b2e95d65a441d58842dea2bc372f
7,truth_n7_24,and_resource_nmcts,True,344.32,296,542,548,77,4,3.509437084197998,0x29a3b2e95d65a441d58842dea2bc372f
7,truth_n7_25,and_direct_anf,True,669.52,592,943,943,55,4,0.00013518333435058594,0xab9099a435a240ae5af305535ec42e08
7,truth_n7_25,and_resource_nmcts,True,318.57000000000005,272,516,527,84,4,2.120073080062866,0xab9099a435a240ae5af305535ec42e08
7,truth_n7_26,and_direct_anf,True,781.4300000000001,692,1104,1105,67,4,0.0001499652862548828,0xaefcfad8efc89849b3aa7efe4458a885
7,truth_n7_26,and_resource_nmcts,True,354.52000000000004,304,570,580,86,4,3.50356388092041,0xaefcfad8efc89849b3aa7efe4458a885
7,truth_n7_27,and_direct_anf,True,810.39,716,1144,1145,71,5,0.0001571178436279297,0xa28defe39bf0027312476f57a5e5a5ab
7,truth_n7_27,and_resource_nmcts,True,372.73,320,600,609,92,4,3.59948992729187,0xa28defe39bf0027312476f57a5e5a5ab
7,truth_n7_28,and_direct_anf,True,828.23,732,1169,1170,72,5,0.00016832351684570312,0x3eabedcbbaa80dd488bd64072bcfbe01
7,truth_n7_28,and_resource_nmcts,True,367.94,316,589,599,92,4,2.7901289463043213,0x3eabedcbbaa80dd488bd64072bcfbe01
7,truth_n7_29,and_direct_anf,True,796.99,704,1125,1126,70,5,0.00016117095947265625,0x451b4cf36123fdf77656af7229d4beef
7,truth_n7_29,and_resource_nmcts,True,360.51,308,571,578,85,5,2.6915531158447266,0x451b4cf36123fdf77656af7229d4beef
8,truth_n8_0,and_direct_anf,True,1782.6000000000001,1588,2506,2506,124,5,0.00027108192443847656,0x5304317faf42e12f3838b3268e944239b02b61c4a3d70628ece66fa2fd5166e6
8,truth_n8_0,and_resource_nmcts,True,901.6,788,1398,1404,165,5,9.457726955413818,0x5304317faf42e12f3838b3268e944239b02b61c4a3d70628ece66fa2fd5166e6
8,truth_n8_1,and_direct_anf,True,1685.11,1500,2376,2377,127,5,0.00028324127197265625,0xce177b4e0837b8a3d261a7ab3aa2e4f90e51f30dc6a7ee39c4b032ccd7c524a5
8,truth_n8_1,and_resource_nmcts,True,844.28,736,1325,1333,164,5,15.845444679260254,0xce177b4e0837b8a3d261a7ab3aa2e4f90e51f30dc6a7ee39c4b032ccd7c524a5
8,truth_n8_2,and_direct_anf,True,1646.88,1464,2319,2319,123,6,0.00029397010803222656,0x9132b63ef16287e4e9c349e03602f8ac10f1bc81448aaa9e66b2bc5b50c187fc
8,truth_n8_2,and_resource_nmcts,True,867.31,756,1368,1371,162,5,10.783679246902466,0x9132b63ef16287e4e9c349e03602f8ac10f1bc81448aaa9e66b2bc5b50c187fc
8,truth_n8_3,and_direct_anf,True,1736.16,1544,2445,2445,129,6,0.0002639293670654297,0xe27a984d654821d07fcd9eb1a7cad415366eb16f508ebad7b7c93acfe059a0ee
8,truth_n8_3,and_resource_nmcts,True,824.69,716,1304,1311,161,6,15.084792137145996,0xe27a984d654821d07fcd9eb1a7cad415366eb16f508ebad7b7c93acfe059a0ee
