functions,mean_CNOT,mean_T,mean_depth,mean_peak_ancilla,mean_score,mean_time_s,method,variant
12,5736.0,3325.0,5737.833333333333,3.5833333333333335,3669.7741666666666,53.80401853720347,and_resource_nmcts,learned_prior
12,5736.5,3326.6666666666665,5738.333333333333,3.5,3671.295,23.260692318280537,and_resource_nmcts,no_prior
