manuscript,status,pdf,pages,rendered_pages,dimensions,min_ink_fraction,max_ink_fraction,min_page_bytes,max_page_bytes,render_seconds,failures,next_action
author,pass,paper_latex/resource_nmcts_submission_v1.pdf,61,61,596x842,0.007598,0.167433,1505511,1505511,not_recorded,none,No action needed.
anonymous,pass,paper_latex/resource_nmcts_submission_anonymous.pdf,60,60,596x842,0.039099,0.167433,1505511,1505511,not_recorded,none,No action needed.
