policy,correct_rows,mean_T,mean_checkpoint_nodes,mean_delta_T_vs_keep_all,mean_delta_peak_ancilla_vs_keep_all,mean_delta_score_vs_keep_all,mean_expanded_compute_calls,mean_log10_T_plus_1,mean_log10_score_plus_1,mean_peak_ancilla,mean_score,peak_vs_keep_all_losses,peak_vs_keep_all_ties,peak_vs_keep_all_wins,rows,score_vs_keep_all_losses,score_vs_keep_all_ties,score_vs_keep_all_wins
keep_all_bennett,309,137465.78640776698,6054.73786407767,0.0,0.0,0.0,12109.47572815534,3.2851041642320564,3.3647680270932807,6056.035598705502,164130.5323462783,0,309,0,309,0,309,0
fanout_checkpoint,309,2.952783568193978e+21,547.4433656957929,2.9527835681939773e+21,-5482.336569579288,3.263273791894117e+21,2.6554335933055612e+20,5.798843119411071,5.8588337635175565,573.6990291262136,3.2632737918941177e+21,0,123,186,309,217,92,0
zero_checkpoint,309,8.848419290278054e+21,0.0,8.848419290278054e+21,-6028.666666666667,9.871277769427857e+21,1.6981758538367626e+21,5.931299611115423,5.9923872168178045,27.368932038834952,9.871277769427857e+21,0,123,186,309,217,92,0
