method,functions,mean_T,mean_CNOT,mean_depth,mean_peak_ancilla,mean_score,mean_time_s
root_beam4_oracle_eval,10,5484.0000,8889.0000,8889.4000,3.9000,6013.5630,0.140741
root_direct,12,5609.3333,8787.3333,8787.8333,2.4167,6129.2625,0.566775
root_heuristic_top1,10,5491.6000,8897.2000,8897.6000,3.9000,6021.6340,0.047384
root_neural_top4,10,5485.6000,8891.5000,8891.9000,3.9000,6015.3075,0.002730
root_oracle12,10,5478.8000,8888.3000,8888.7000,3.9000,6008.3395,0.411918
root_oracle24,10,5478.8000,8888.3000,8888.7000,3.9000,6008.3395,0.589406
