n,functions,v2_mean,noprior_mean,all_scores_identical,finding
8,20,832.0,832.0,True,Portfolio guard makes prior irrelevant on resource_nmcts path
10,10,4446.09,4446.09,True,Portfolio guard makes prior irrelevant on resource_nmcts path
