n,method,functions,mean_terms,mean_T,mean_CNOT,mean_depth,mean_peak_ancilla,mean_score,mean_time_s,verified_rows,mean_plan_nodes,circuit_verified_rows,mean_circuit_gates,mean_circuit_max_wire_terms
24,adaptive_all_depth,24,114.58333333333333,974.8333333333334,1574.25,1574.3333333333333,5.25,1077.9133333333334,6.6342021231254575,24,8.416666666666666,24,112.08333333333333,114.58333333333333
24,depth2_guard_direct,24,114.58333333333333,1015.6666666666666,1634.9583333333333,1635.0416666666667,5.208333333333333,1122.2010416666667,0.4047388471256757,24,6,24,111.54166666666667,114.58333333333333
24,depth_frontier_policy,24,114.58333333333333,978.5,1579.2083333333333,1579.2916666666667,5.25,1081.865625,4.020723921917427,24,7.833333333333333,24,111.54166666666667,114.58333333333333
24,depth_policy,24,114.58333333333333,1016.1666666666666,1635.625,1635.7083333333333,5.208333333333333,1122.739375,0.39869911275097064,24,5.916666666666667,24,111.45833333333333,114.58333333333333
24,direct_logical_and,24,114.58333333333333,1165.3333333333333,1862.5,1862.5833333333333,4.833333333333333,1284.41125,8.350840895824755e-07,24,1,24,114.58333333333333,114.58333333333333
24,screen_depth1,24,114.58333333333333,1048.3333333333333,1683.9583333333333,1684.0416666666667,5.208333333333333,1157.7260416666666,0.08842032629187695,24,4.583333333333333,24,111.54166666666667,114.58333333333333
24,screen_depth2,24,114.58333333333333,1015.6666666666666,1634.9583333333333,1635.0416666666667,5.208333333333333,1122.2010416666667,0.4047379217924269,24,6,24,111.54166666666667,114.58333333333333
24,screen_depth3,24,114.58333333333333,991.3333333333334,1598.7916666666667,1598.875,5.25,1095.8435416666666,1.5374663837080031,24,7.25,24,111.875,114.58333333333333
24,screen_depth4,24,114.58333333333333,974.8333333333334,1574.25,1574.3333333333333,5.25,1077.9133333333334,4.589020720500533,24,8.416666666666666,24,112.08333333333333,114.58333333333333
24,screen_single,24,114.58333333333333,1094.3333333333333,1753.6666666666667,1753.75,5.166666666666667,1207.7137500000001,0.01455677083261738,24,2.8333333333333335,24,112.25,114.58333333333333
28,adaptive_all_depth,24,123.79166666666667,1034.6666666666667,1672.875,1672.9166666666667,5.416666666666667,1143.8912500000001,9.849114545541246,24,8.416666666666666,24,120.91666666666667,123.79166666666667
