scope,pairs,run_depth4,true_runs,false_runs,false_skips,score_wlt_vs_sparse,mean_rel_score_vs_sparse,mean_rel_time_vs_sparse,score_wlt_vs_depth2,mean_rel_score_vs_depth2,mean_rel_time_vs_depth2
all,144,106,94,12,0,0/0/144,0.0,-0.1342787878657046,94/0/50,-0.026914379807401214,7.415226012748438
seed=20260801,48,33,30,3,0,0/0/48,0.0,-0.15730831338672988,30/0/18,-0.024774262016063652,7.019384215776424
seed=20260802,48,37,31,6,0,0/0/48,0.0,-0.11600812703494938,31/0/17,-0.02581519713802904,7.435060830474329
seed=20260803,48,36,33,3,0,0/0/48,0.0,-0.12951992317543456,33/0/15,-0.030153680268110945,7.791232991994561
n=24,36,29,27,2,0,0/0/36,0.0,-0.09882819904358758,27/0/9,-0.030924059195862493,8.222802065830637
n=28,36,27,24,3,0,0/0/36,0.0,-0.12981263061536438,24/0/12,-0.026323349997843668,7.608341788595457
n=32,36,23,21,2,0,0/0/36,0.0,-0.18189239102449772,21/0/15,-0.022204842794910744,6.697439732647378
n=40,36,27,22,5,0,0/0/36,0.0,-0.1265819307793687,22/0/14,-0.02820526724098795,7.132320463920282
