budget,method,mean_score,time_s,w_vs_96,l_vs_96,t_vs_96,delta_pct
32,neural_mcts,74.9436,7.1,1,0,176,0.001
96,neural_mcts,74.944,10.0,0,0,177,0.0
256,neural_mcts,74.944,16.3,0,0,177,0.0
512,neural_mcts,74.9436,20.7,1,0,176,0.001
1024,neural_mcts,74.9227,951.2,2,0,175,0.028
96,resource_nmcts,54.3016,55.6,0,0,177,0.0
256,resource_nmcts,54.3016,62.7,0,0,177,0.0
512,resource_nmcts,54.3016,71.3,0,0,177,0.0
1024,resource_nmcts,54.3016,84.3,0,0,177,0.0
